"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"02-Mar-2022","    35381.90","    35553.70","    34897.45","    35372.80","      211288285","         8248.77"
"03-Mar-2022","    35621.15","    35804.15","    34721.15","    34944.30","      172533577","         6220.88"
"04-Mar-2022","    34526.10","    35097.75","    34094.10","    34407.80","      194466533","         6367.62"
"07-Mar-2022","    33278.15","    33543.30","    32376.50","    32871.25","      248860897","         8562.11"
"08-Mar-2022","    32531.90","    33263.55","    32155.35","    33158.10","      276830725","        10371.94"
"09-Mar-2022","    33278.90","    33969.50","    32948.90","    33815.45","      258456568","         9509.70"
"10-Mar-2022","    35153.95","    35374.15","    34218.05","    34475.60","      273948531","        10109.90"
"11-Mar-2022","    34331.00","    34880.05","    34094.30","    34546.25","      169532120","         6157.39"
"14-Mar-2022","    34660.25","    35435.10","    34625.05","    35312.15","      193297091","         7589.67"
"15-Mar-2022","    35467.95","    35643.80","    34706.05","    35022.65","      224193669","         8437.88"
"16-Mar-2022","    35555.75","    35806.35","    35461.55","    35748.25","      173798310","         5703.97"
"17-Mar-2022","    36302.00","    36611.95","    36261.65","    36428.55","      181953699","         6709.49"
"21-Mar-2022","    36545.85","    36600.20","    35900.20","    36018.50","      128655959","         4771.04"
"22-Mar-2022","    35975.60","    36468.80","    35384.75","    36348.55","      202887630","         5838.07"
"23-Mar-2022","    36627.70","    36827.60","    36064.75","    36147.35","      197900273","         6074.26"
"24-Mar-2022","    35633.70","    35957.70","    35421.70","    35527.10","      205174581","         8832.50"
"25-Mar-2022","    35700.40","    35717.40","    35203.85","    35410.10","      156997410","         4862.65"
"28-Mar-2022","    35488.70","    35770.80","    35016.30","    35710.50","      197017630","         5234.28"
"29-Mar-2022","    35931.75","    35977.20","    35506.55","    35847.40","      177135786","         4586.33"
"30-Mar-2022","    36241.55","    36421.10","    36070.55","    36334.30","      325637452","         8056.96"
"31-Mar-2022","    36457.20","    36590.85","    36278.15","    36373.60","      188135977","         6187.65"
"01-Apr-2022","    36298.35","    37209.80","    36242.35","    37148.50","      245689573","         6288.75"
"04-Apr-2022","    37824.95","    38765.85","    37665.55","    38635.20","      309170581","        14018.76"
"05-Apr-2022","    38731.30","    38759.25","    37935.95","    38067.90","      220560341","         7019.55"
"06-Apr-2022","    37711.30","    37868.50","    37513.85","    37632.80","      198848773","         6772.55"
"07-Apr-2022","    37421.75","    37975.90","    37346.80","    37557.35","      245018646","         8711.76"
"08-Apr-2022","    37619.70","    37884.20","    37405.20","    37752.05","      202237753","         8312.04"
"11-Apr-2022","    37591.75","    37941.75","    37524.45","    37613.80","      132096631","         5192.44"
"12-Apr-2022","    37407.40","    37920.60","    37264.45","    37747.40","      171033301","         6333.06"
"13-Apr-2022","    37887.30","    37988.60","    37408.20","    37463.40","      143255004","         6335.55"
"18-Apr-2022","    36833.15","    36965.85","    36441.35","    36729.00","      182939705","         7933.87"
"19-Apr-2022","    36806.80","    37123.55","    35926.30","    36341.60","      216336217","        11540.48"
"20-Apr-2022","    36482.60","    36513.85","    36114.05","    36314.90","      153381114","         7481.00"
"21-Apr-2022","    36513.10","    36913.35","    36395.70","    36816.10","      132687618","         6966.06"
"22-Apr-2022","    36514.15","    36578.95","    35991.50","    36044.75","      140125764","         5439.74"
"25-Apr-2022","    35792.35","    36270.15","    35511.40","    36082.35","      183091482","         7098.21"
"26-Apr-2022","    36515.35","    36604.55","    36265.90","    36404.80","      143384158","         5742.39"
"27-Apr-2022","    36067.55","    36175.90","    35747.15","    36028.85","      134244167","         5976.55"
"28-Apr-2022","    36189.95","    36501.10","    35951.10","    36422.20","      137268325","         5750.47"
