"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"VEDL","02-May-2019","30-May-2019","CE","160","13.75","13.75","13.2","13.2","13.2","13.2","3","11.98",".94","16100","0","168.3"
"VEDL","03-May-2019","30-May-2019","CE","160","13.5","14","12.9","14","14","14","20","79.66","6.06","48300","32200","167.7"
"VEDL","06-May-2019","30-May-2019","CE","160","12.8","15.5","12.8","14.5","14.5","14.5","11","43.93","3.45","62100","13800","166.75"
"VEDL","07-May-2019","30-May-2019","CE","160","15.95","16.4","12.1","12.7","12.1","12.7","78","313.09","26.05","98900","36800","163.5"
"VEDL","08-May-2019","30-May-2019","CE","160","10","11.7","8.1","9.65","10.2","9.65","1340","5231.98","300.78","598000","499100","159.4"
"VEDL","09-May-2019","30-May-2019","CE","160","9.2","10","7.65","7.85","7.7","7.85","406","1574.67","80.59","920000","322000","157.15"
"VEDL","10-May-2019","30-May-2019","CE","160","8.25","8.7","6.4","6.7","6.7","6.7","780","3000.08","129.68","1288000","368000","155.95"
"VEDL","13-May-2019","30-May-2019","CE","160","6.5","7.35","5.5","6.3","6.1","6.3","720","2757.6","108","1605400","317400","154.2"
"VEDL","14-May-2019","30-May-2019","CE","160","6.15","9.3","6.15","8.85","9","8.85","1864","7188.83","329.31","853300","-752100","160.75"
"VEDL","15-May-2019","30-May-2019","CE","160","9.45","10","7.9","8.15","7.9","8.15","492","1915.37","104.81","598000","-255300","160.05"
"VEDL","16-May-2019","30-May-2019","CE","160","8.15","9.95","7.8","9.6","9.2","9.6","253","981.74","50.7","526700","-71300","163.5"
"VEDL","17-May-2019","30-May-2019","CE","160","9.6","10","7.2","7.9","8","7.9","270","1043.14","49.54","492200","-34500","160.95"
"VEDL","20-May-2019","30-May-2019","CE","160","9.95","11.85","9.25","11.1","11.15","11.1","179","702.06","43.34","430100","-62100","167.1"
"VEDL","21-May-2019","30-May-2019","CE","160","11.95","12.15","8.95","10.05","10.15","10.05","55","215.05","12.65","409400","-20700","165.45"
"VEDL","22-May-2019","30-May-2019","CE","160","9.55","11.55","9.55","10.2","10.05","10.2","88","345.68","21.84","328900","-80500","166.3"
"VEDL","23-May-2019","30-May-2019","CE","160","10.35","10.35","2.65","3.15","2.85","3.15","557","2103.03","53.27","800400","471500","157.35"
"VEDL","24-May-2019","30-May-2019","CE","160","3.45","6","1.65","5.55","6","5.55","1593","5982.78","120.54","880900","80500","163.9"
"VEDL","27-May-2019","30-May-2019","CE","160","6.1","8.2","4.5","7.2","7.05","7.2","367","1404.91","54.35","577300","-303600","166.5"
"VEDL","28-May-2019","30-May-2019","CE","160","7.95","11.5","6.6","9.6","9.4","9.6","143","557.66","31.42","476100","-101200","169.55"
"VEDL","29-May-2019","30-May-2019","CE","160","8.4","8.4","5","5.95","5.75","5.95","86","327.9","11.42","432400","-43700","165.85"
"VEDL","30-May-2019","30-May-2019","CE","160","6.2","6.2","2.75","3.85","3.95","0","152","574.18","14.82","305900","-126500","164"
